query,forum_topics_url
PIDILITIND,https://mmb.moneycontrol.com/forum-topics/stocks/pidilite-ind-9021.html
PNBGILTS,https://mmb.moneycontrol.com/forum-topics/stocks/pnb-gilts-2687.html
PNC,https://mmb.moneycontrol.com/forum-topics/stocks/pnc-infratech-509893.html
POLARIS,https://mmb.moneycontrol.com/forum-topics/stocks/polaris-consult-407.html
PRISMCEM,https://mmb.moneycontrol.com/forum-topics/stocks/prism-cement-34142.html
PSIDATASYS,https://mmb.moneycontrol.com/forum-topics/stocks/psi-data-system-15441.html
PUNJABTRAC,https://mmb.moneycontrol.com/forum-topics/stocks/punj-tractors-4301.html
PUNJCOMMU,https://mmb.moneycontrol.com/forum-topics/stocks/punj-comm-4541.html
RAINCALCIN,https://mmb.moneycontrol.com/forum-topics/stocks/rain-calcining-246272.html
RALLIS,https://mmb.moneycontrol.com/forum-topics/stocks/rallis-india-3921.html
RAMCOIND,https://mmb.moneycontrol.com/forum-topics/stocks/ramcoind-11621.html
RAMCOSYS,https://mmb.moneycontrol.com/forum-topics/stocks/ramco-system-8941.html
RANBAXY,https://mmb.moneycontrol.com/forum-topics/stocks/ranbaxy-labs-2024.html
RAYMOND,https://mmb.moneycontrol.com/forum-topics/stocks/raymond-lifestyle-530225.html
RCF,https://mmb.moneycontrol.com/forum-topics/stocks/rashtriya-chem-4003.html
RECKCOLMAN,https://mmb.moneycontrol.com/forum-topics/stocks/reckitt-164255.html
RELCAPITAL,https://mmb.moneycontrol.com/forum-topics/stocks/rel-capital-3240.html
RELIANCE,https://mmb.moneycontrol.com/forum-topics/stocks/reliance-322.html
RIIL,https://mmb.moneycontrol.com/forum-topics/stocks/rel-ind-infra-10004.html
ROLTA,https://mmb.moneycontrol.com/forum-topics/stocks/rolta-2045.html
